url,stars,date,spot,ville,region
https://www.surf-report.com/meteo-surf/meteo-surf/dielette-s1130.html,13,Lundi 15 Novembre,Diélette,Flamanville,Manche
https://www.surf-report.com/meteo-surf/meteo-surf/le-rozel-s1131.html,14,Lundi 15 Novembre,No spot name,Le Rozel,Manche
https://www.surf-report.com/meteo-surf/meteo-surf/hatainville-s1132.html,14,Lundi 15 Novembre,Hatainville,Les Moitiers D'allonne,Manche
https://www.surf-report.com/meteo-surf/meteo-surf/siouville-s1079.html,15,Lundi 15 Novembre,No spot name,Siouville,Manche
https://www.surf-report.com/meteo-surf/meteo-surf/audierne-s1153.html,12,Lundi 15 Novembre,No spot name,Audierne,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-gamelle-audierne-s1154.html,15,Lundi 15 Novembre,La Gamelle,Audierne,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/brest-s1002.html,11,Lundi 15 Novembre,No spot name,Brest,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/crozon-s1016.html,14,Lundi 15 Novembre,Crozon,Camaret/mer,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/pointe-dinan-s1146.html,11,Lundi 15 Novembre,Pointe De Dinan,Camaret/mer,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/poez-theolen-cleden-cap-sizun-s1150.html,12,Mardi 16 Novembre,Poez Théolen,Cleden Cap Sizun,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/le-kerou-clohars-carnoet-s1160.html,15,Lundi 15 Novembre,Le Kérou,Clohars Carnoet,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/cap-chevre-s1147.html,15,Lundi 15 Novembre,Cap De La Chèvre,Crozon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-palue-s1038.html,13,Lundi 15 Novembre,La Palue,Crozon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/les-roches-blanches-douarnenez-s1149.html,12,Mardi 16 Novembre,Les Roches Blanches,Douarnenez,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/kerhilio-s1168.html,15,Lundi 15 Novembre,Kerhilio,Erdeven,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-roche-seche-s1167.html,15,Lundi 15 Novembre,La Roche Sèche,Erdeven,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/ile-aux-vaches-s1032.html,15,Lundi 15 Novembre,L'ile Aux Vaches,Esquibien,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/pointe-lervily-esquibien-s1152.html,11,Mardi 16 Novembre,Pointe De Lervily,Esquibien,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/kervegant-s1166.html,14,Lundi 15 Novembre,Kervegant,Etel,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/fort-bloque-s1024.html,15,Lundi 15 Novembre,Fort Bloqué,Guidel,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/plage-falaise-guidel-s1025.html,15,Lundi 15 Novembre,Plage De La Falaise,Guidel,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/plage-loch-s1161.html,15,Lundi 15 Novembre,Plage Du Loch,Guidel,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/boutrouilles-kerlouan-s1139.html,12,Mardi 16 Novembre,Boutrouilles,Kerlouan,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/penfoul-s1141.html,11,Mardi 16 Novembre,Penfoul,Landunvez,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/blancs-sablons-conquet-s2758.html,12,Lundi 15 Novembre,Blancs Sablons,Le Conquet,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/dalbosc-s1143.html,15,Mercredi 17 Novembre,Dalbosc,Locmaria Plouzane,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/le-petit-minou-s1144.html,15,Lundi 15 Novembre,Le Petit Minou,Locmaria Plouzane,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/porsmilin-s1142.html,15,Lundi 15 Novembre,Porsmilin,Locmaria Plouzane,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-torche-s1040.html,12,Mardi 16 Novembre,La Torche,Penmarch,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/pors-carn-s1070.html,12,Mardi 16 Novembre,Pors Carn,Penmarch,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/les-kaolins-s1162.html,15,Lundi 15 Novembre,Les Kaolins,Ploemeur,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/baie-trepasses-s996.html,11,Mardi 16 Novembre,Baie Des Trépassés,Plogoff,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-guerite-tata-beach-s1170.html,15,Lundi 15 Novembre,La Guérite Tata Beach,Plouharnel,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/plage-gwendrez-s1155.html,12,Lundi 15 Novembre,Plage De Gwendrez,Plouhinec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/penhors-plage-s1158.html,12,Mardi 16 Novembre,Penhors Plage,Plovan,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/palud-keristenvet-s1156.html,11,Mardi 16 Novembre,Palud Keristenvet,Plozevet,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/palud-gourinet-s1157.html,12,Mardi 16 Novembre,Palud Gourinet,Pouldreuzic,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/saint-tugen-s1151.html,15,Lundi 15 Novembre,St Tugen,Primelin,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-grande-plage-quiberon-s1174.html,14,Lundi 15 Novembre,La Grande Plage,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/penthievre-quiberon-s1171.html,14,Lundi 15 Novembre,Penthièvre,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/port-bara-quiberon-s1173.html,14,Lundi 15 Novembre,Port Bara,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/port-blanc-quiberon-s1072.html,14,Lundi 15 Novembre,Port Blanc,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/port-rhu-quiberon-s1172.html,14,Lundi 15 Novembre,Port Rhu,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/quiberon-s1073.html,15,Lundi 15 Novembre,No spot name,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/tronoen-s1116.html,12,Mardi 16 Novembre,Tronoën,St Jean Trolimon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/plage-sillon-s1135.html,12,Lundi 15 Novembre,Plage Du Sillon,St Malo,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/saint-pabu-s1140.html,11,Mardi 16 Novembre,No spot name,St Pabu,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/le-dossen-s1101.html,11,Mardi 16 Novembre,Le Dossen,Santec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/santec-s102805.html,12,Lundi 15 Novembre,No spot name,Santec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/les-donnants-sauzon-s1175.html,14,Lundi 15 Novembre,Les Donnants,Sauzon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-mauvaise-greve-s1138.html,11,Mardi 16 Novembre,La Mauvaise Grève,Sibiril,Bretagne
